Gene,Metabolite,Pooled r,Pooled p,Pooled FDR
ENSMUSG00000003184,Neostigmine ,-0.538235294,0.031493228,0.2260941078430916
ENSMUSG00000003190,(pm)-Norketamine,0.1593627657251001,0.5412355341703218,0.6853773005682721
ENSMUSG00000003190,2-Ethyl-3-hydroxypropionic acid,0.1730062652010465,0.5066742738351837,0.6610984721413153
ENSMUSG00000003190,2-Hydroxy-5-methoxybenzaldehyde,0.2734519214160247,0.2882344061084718,0.5015846111785961
ENSMUSG00000003190,"2,4-Diamino-6,7-dimethylpteridine",0.4632352941176471,0.061113371,0.2780029100317132
ENSMUSG00000003190,"4-Fluoroaniline, N-trimethylsilyl-",0.1472393746391885,0.5728013452667866,0.7065844959329962
ENSMUSG00000003190,4-Hydroxybenzoic acid,-0.004901961,0.9851029592703198,0.9878969928647536
ENSMUSG00000003190,"Acetamide, N,N-diethyl-",0.2189436800363013,0.398512019,0.5837481143987217
ENSMUSG00000003190,"Benzene, 4-ethenyl-1,2-dimethoxy-",0.2945511294562622,0.2681084813091418,0.4867970020657814
ENSMUSG00000003190,Benzoic Acid,0.5885519256409134,0.020993335,0.2016487761074518
ENSMUSG00000003190,Cholesterol,0.1887254901960784,0.4681922842798525,0.6324473859235186
ENSMUSG00000003190,Cyclobutanol,0.6000000000000001,0.051003261,0.2621948103748093
ENSMUSG00000003190,Glucose,-0.494117647,0.051723442,0.2631479063113174
ENSMUSG00000003190,Glyceric acid,-0.039285714,0.8894459296739485,0.922553131
ENSMUSG00000003190,n-Butylamine,0.4490800926495251,0.070558555,0.2919002401881664
ENSMUSG00000003190,Nonanal,0.2979767574174619,0.2453832860373153,0.4670734344129691
ENSMUSG00000003190,p-Toluic acid,0.6217337381052243,0.023291994,0.2079899247661441
ENSMUSG00000003190,"Pentenoic acid, 4-[(trimethylsilyl)oxy]-",0.1427520621935256,0.5979134125091117,0.7242794990730985
ENSMUSG00000003190,Pimelic acid,0.010714286,0.9697698761545686,0.9771878959496524
ENSMUSG00000003190,Syringaldehyde,0.2584639365285951,0.3165091212621423,0.5241252046053119
ENSMUSG00000003190,Tris(trimethylsilyl)carbamate,0.2853647964518085,0.2668888972894148,0.4860063945236489
ENSMUSG00000003199,"1-(2,4-Dimethoxyphenyl)-propan-2-one",0.010378403,0.9695706729071653,0.9771878959496524
ENSMUSG00000003199,1-Octadecanol,-0.429727857,0.096663891,0.3248943114422429
ENSMUSG00000003199,1-Octanol,-0.152941176,0.5717446192454616,0.7059416045274854
ENSMUSG00000003199,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",-0.278527817,0.2790169303120148,0.4940673245753624
ENSMUSG00000003199,"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline",-0.490196078,0.04575998,0.2536171796737541
ENSMUSG00000003199,3-(2-Hydroxyethyl)imidazole-2-thione,-0.072348266,0.7825946373194845,0.8492365544367007
ENSMUSG00000003199,"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin ",0.2673207124156653,0.2996102780489081,0.5100044800601925
ENSMUSG00000003199,Allylescaline ,-0.144696532,0.5795198739940172,0.7110287450732605
ENSMUSG00000003199,"Arabinofuranose, 1,2,3,5-tetrakis-O-",-0.373529412,0.1541224698968482,0.3870649080967887
ENSMUSG00000003199,"Benzimidazole, 5-trifluoromethyl-2-methyl-",-0.143646652,0.5823034194297514,0.7138094376231707
ENSMUSG00000003199,Cyclohexanol,-0.340686275,0.1808507995705014,0.4106100368584214
ENSMUSG00000003199,Diphenyl ether,-0.209687348,0.4192348925650776,0.5977261338976622
ENSMUSG00000003199,Doconexent,0.333334784,0.2070763924385528,0.4346901194330339
ENSMUSG00000003199,Glyoxime,-0.553269677,0.032401063,0.2281365135480669
ENSMUSG00000003199,Isofucosterol,-0.174126336,0.5038839820549978,0.6592995245912174
ENSMUSG00000003199,Neostigmine ,-0.302941176,0.2540668806096115,0.4749687510607697
ENSMUSG00000003199,Nonanal,-0.372777507,0.1405729758343123,0.3732315352681782
ENSMUSG00000003199,p-Toluic acid,-0.288858595,0.3384799505620154,0.5404453341517285
ENSMUSG00000003199,Phloroglucinol,-0.200178811,0.474410909,0.6370892457057353
ENSMUSG00000003199,"Propanetriol, 2-methyl-",-0.125076664,0.6324302993521776,0.7459437210117112
ENSMUSG00000003199,Xylazine,-0.373006416,0.1403100843511266,0.3732315352681782
ENSMUSG00000003344, 5-Hydroxyhexanoic acid,-0.565456888,0.035084385,0.2333693172665243
ENSMUSG00000003344,"6,7,4'-Trihydroxyisoflavone",0.2237762237762237,0.4844516614553988,0.6447000329653879
ENSMUSG00000003344,Allylescaline ,0.4255059046249352,0.088602343,0.3157332218064894
ENSMUSG00000003360,(CH3)2C=NC2H558,-0.566176471,0.017822845,0.1928866673757203
