Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR,"('Gene', 'Metabolite')"
ENSMUSG00000036087,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",-0.085714286,0.8717434402332361,6,-1,0,4,-0.107142857,0.8191508555699912,7,-0.004901961,0.9851029592703198,17,TRUE,-,0.9878969928647536,"('ENSMUSG00000036087', '3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene')"
ENSMUSG00000036087,Allylescaline ,-0.542857143,0.2657026239067055,6,-1,0,4,-0.090093746,0.8476720796198265,7,-0.290619307,0.2577924429412399,17,TRUE,-,0.478532353,"('ENSMUSG00000036087', 'Allylescaline ')"
ENSMUSG00000036087,Cyclobutanol,-0.8,0.2,4,-1,0,4,-0.5,0.6666666666666667,3,-0.572727273,0.065543053,11,TRUE,-,0.2851273606962903,"('ENSMUSG00000036087', 'Cyclobutanol')"
ENSMUSG00000036087,Pyroglutamic acid,0.5,0.6666666666666667,3,0.7999999999999999,0.2,4,0.1,0.8728885715695383,5,0.1608391608391608,0.6175234895401425,12,TRUE,+,0.7359440045532142,"('ENSMUSG00000036087', 'Pyroglutamic acid')"
ENSMUSG00000036087,Tartronic acid,-0.2,0.8,4,-0.8,0.2,4,-0.5,0.2531699951003227,7,-0.421428571,0.1176993958554164,15,TRUE,-,0.3493920429616125,"('ENSMUSG00000036087', 'Tartronic acid')"
ENSMUSG00000036188,3-Methylvaleric acid,-0.1,0.8728885715695383,5,-0.5,0.6666666666666667,3,-0.571428571,0.1802019889115274,7,-0.282142857,0.3082844568200555,15,TRUE,-,0.5175146639766223,"('ENSMUSG00000036188', '3-Methylvaleric acid')"
ENSMUSG00000036188,"Benzoic acid, methyl ester",0.5,0.6666666666666667,3,0.3999999999999999,0.6,4,0.3999999999999999,0.6,4,0.3636363636363636,0.2716375409938228,11,TRUE,+,0.4898011185109225,"('ENSMUSG00000036188', 'Benzoic acid, methyl ester')"
ENSMUSG00000036188,L-Isoleucine,0.4616902584383193,0.4337661561690278,5,0.316227766,0.683772234,4,0.1785714285714286,0.7016579425162729,7,0.3829164682931408,0.1432200032070738,16,TRUE,+,0.3763593090673369,"('ENSMUSG00000036188', 'L-Isoleucine')"
ENSMUSG00000036188,Palmitelaidic acid,0.1999999999999999,0.747060078,5,0.7999999999999999,0.2,4,0.5765999761251578,0.1753818245224563,7,0.5577632120757341,0.024767179,16,TRUE,+,0.2113969992060416,"('ENSMUSG00000036188', 'Palmitelaidic acid')"
ENSMUSG00000036188,Phloroglucinol,-0.3,0.6238376647810728,5,-0.5,0.6666666666666667,3,-0.48650623,0.268248562,7,-0.452189635,0.090589288,15,TRUE,-,0.3178453339631769,"('ENSMUSG00000036188', 'Phloroglucinol')"
ENSMUSG00000036197,"2,5-Dimethoxy-4-methylamphetamine",0.058848989,0.91182842,6,0.3999999999999999,0.6,4,0.1871202971412799,0.6878667525275877,7,0.140308994,0.5911894495096467,17,TRUE,+,0.7201385997415599,"('ENSMUSG00000036197', '2,5-Dimethoxy-4-methylamphetamine')"
ENSMUSG00000036197,"2,5-Dimethoxymandelic acid",-0.1,0.8728885715695383,5,-0.4,0.6,4,-0.714285714,0.1107871720116617,6,-0.457142857,0.086678127,15,TRUE,-,0.313211126,"('ENSMUSG00000036197', '2,5-Dimethoxymandelic acid')"
ENSMUSG00000036197,"6,8-Dioxapentadecane",-0.051298918,0.934712848,5,-1,0,3,-0.5,0.6666666666666667,3,-0.104783871,0.7591405835551854,11,TRUE,-,0.8336206968137182,"('ENSMUSG00000036197', '6,8-Dioxapentadecane')"
ENSMUSG00000036197,Allylescaline ,-0.942857143,0.004804665,6,-0.8,0.2,4,-0.450468731,0.3104293018513229,7,-0.530962699,0.028304026,17,TRUE,-,0.2187799648708475,"('ENSMUSG00000036197', 'Allylescaline ')"
ENSMUSG00000036197,"Erythrono-1,4-lactone, (Z)-",-0.314285714,0.5440932944606414,6,-0.948683298,0.051316702,4,-0.180187493,0.6990457740939315,7,-0.067484713,0.7969121638981846,17,TRUE,-,0.8593714544130094,"('ENSMUSG00000036197', 'Erythrono-1,4-lactone, (Z)-')"
ENSMUSG00000036197,Picolinic acid,-0.085714286,0.8717434402332361,6,-1,0,4,-0.142857143,0.7599453002180929,7,-0.448529412,0.07094644,17,TRUE,-,0.2919002401881664,"('ENSMUSG00000036197', 'Picolinic acid')"
ENSMUSG00000036202,"1,5-Anhydroglucitol",-0.051298918,0.934712848,5,-0.4,0.6,4,-0.115954207,0.826848213,6,-0.364937972,0.1810703102108075,15,TRUE,-,0.4109353870286416,"('ENSMUSG00000036202', '1,5-Anhydroglucitol')"
ENSMUSG00000036202,Benzenepropanoic acid,0.2,0.704,6,0.5,0.6666666666666667,3,0.018018749,0.9694153868031988,7,0.089771915,0.7409257646943954,16,TRUE,+,0.820532818,"('ENSMUSG00000036202', 'Benzenepropanoic acid')"
ENSMUSG00000036202,Cyclobutanol,-0.4,0.6,4,-0.4,0.6,4,-0.5,0.6666666666666667,3,-0.209090909,0.5372209352113229,11,TRUE,-,0.6824384445409083,"('ENSMUSG00000036202', 'Cyclobutanol')"
ENSMUSG00000036202,"D-Psicofuranose, pentakis",0.1538967528127731,0.8048288166080632,5,0.1999999999999999,0.8,4,0.1261312447773782,0.7875721594074739,7,0.1899854784992891,0.4809614357603783,16,TRUE,+,0.6425337854411032,"('ENSMUSG00000036202', 'D-Psicofuranose, pentakis')"
ENSMUSG00000036202,Neostigmine ,0.2,0.704,6,1,0,3,0.3214285714285715,0.4820720382996776,7,0.1676470588235294,0.5348568245819433,16,TRUE,+,0.6803769974982808,"('ENSMUSG00000036202', 'Neostigmine ')"
ENSMUSG00000036371,"1-Phenyl-1,2-ethanediol",0.2608969660436018,0.6175338174259972,6,0.6000000000000001,0.3999999999999999,4,0.1636634176769943,0.725862474,7,0.030693729,0.9069071300790416,17,TRUE,+,0.934671966,"('ENSMUSG00000036371', '1-Phenyl-1,2-ethanediol')"
ENSMUSG00000036371,"Benzene, 1,1'-(1,2-cyclobutanediyl)bis-",-0.142857143,0.7871720116618075,6,-0.5,0.6666666666666667,3,-0.178571429,0.7016579425162729,7,-0.085294118,0.7534650694747833,16,TRUE,-,0.8293868496042872,"('ENSMUSG00000036371', ""Benzene, 1,1'-(1,2-cyclobutanediyl)bis-"")"
ENSMUSG00000036371,Benzenepropanoic acid,-0.085714286,0.8717434402332361,6,-0.5,0.6666666666666667,3,-0.48650623,0.268248562,7,-0.151582087,0.5752070481300737,16,TRUE,-,0.7081150244766911,"('ENSMUSG00000036371', 'Benzenepropanoic acid')"
ENSMUSG00000036371,Nonadecanoic acid,-0.028571429,0.9571545189504372,6,-0.5,0.6666666666666667,3,-0.1,0.8728885715695383,5,-0.178021978,0.5425969526062153,14,TRUE,-,0.6859748577849268,"('ENSMUSG00000036371', 'Nonadecanoic acid')"
