Gene,Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR
ENSMUSG00000001014-P,ENSMUSG00000001014,"2,4-Decadienal",0.1428571428571428,0.7871720116618075,6,0.2108185106778919,0.7891814893221081,4,0.2167303617157527,0.6406471615204584,7,0.1295234179192075,0.6202776447153622,17,TRUE,+,0.7378836145804185
ENSMUSG00000001014-P,ENSMUSG00000001014,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",0.5797710356524484,0.227783957,6,0.3888888888888889,0.6111111111111109,4,0.029821604,0.949395782,7,0.357482059,0.1589147670180389,17,TRUE,+,0.3908420540640351
ENSMUSG00000001014-P,ENSMUSG00000001014,"2,5-Di-tert-butyl-4-((trimethylsilyl)oxy)phenol",0.4638168285219587,0.3541642984362303,6,0.7378647873726218,0.2621352126273781,4,0.5107539184552492,0.2414402259156693,7,0.4788370033301193,0.051825785,17,TRUE,+,0.2634206868015594
ENSMUSG00000001014-P,ENSMUSG00000001014,"2,5-Dimethoxyphenol",0.8986451052612952,0.014888622,6,0.2108185106778919,0.7891814893221081,4,0.2477520417046002,0.5921916829667524,7,0.3415745370961697,0.1796428401813049,17,TRUE,+,0.4098562700393953
ENSMUSG00000001014-P,ENSMUSG00000001014,"2',2,3,6'-Tetramethoxychalcone",0.1025978352085154,0.8695979205185651,5,0.2108185106778919,0.7891814893221081,4,0.030802055,0.9538115292081092,6,0.3168599674124613,0.2498601016709944,15,TRUE,+,0.4712915014071456
ENSMUSG00000001014-P,ENSMUSG00000001014,3-(2-Hydroxyethyl)imidazole-2-thione,0.3142857142857143,0.5440932944606414,6,0.2108185106778919,0.7891814893221081,4,0.1093458812170373,0.8154764260171405,7,0.1766156564044681,0.4977087837089788,17,TRUE,+,0.65502686
ENSMUSG00000001014-P,ENSMUSG00000001014,3-Amino-5-morpholinomethyl-2-oxazolidinone,0.057977104,0.9131317851623264,6,0.5,0.6666666666666667,3,0.428746463,0.3962871497281169,6,0.2161668582347403,0.4390511681693213,15,TRUE,+,0.6119765013980295
ENSMUSG00000001014-P,ENSMUSG00000001014,"3-Hydroxy-2,3-dihydromaltol",0.057977104,0.9131317851623264,6,0.8660254037844387,0.3333333333333332,3,0.1970276015597751,0.6719698959610128,7,0.342592366,0.1939629690423489,16,TRUE,+,0.4228951340615005
ENSMUSG00000001014-P,ENSMUSG00000001014,3-Hydroxyisovaleric acid,0.2571428571428572,0.6227871720116618,6,0.7378647873726218,0.2621352126273781,4,0.01970276,0.9665580474495395,7,0.1980946391705527,0.4459685589251703,17,TRUE,+,0.6169360450835786
ENSMUSG00000001014-P,ENSMUSG00000001014,3-Methylvaleric acid,0.3,0.6238376647810728,5,0.8660254037844387,0.3333333333333332,3,0.4531634835874829,0.3071812410541062,7,0.1581138830084189,0.57356644,15,TRUE,+,0.7068214419874118
