Metabolite,Gene,AL Consistent,Matt consistent,Consistent differs,Matt,AL,Diff (Matt-AL),Abs Diff
"6,8-Dioxapentadecane",ENSMUSG00000094002,False,False,False,0.0,,,
"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin",ENSMUSG00000094002,False,False,False,0.0,,,
"7-Isoquinolinol, 1,2,3,4-tetrahydro-1-[(4-hydroxyphenyl)methyl]-6-methoxy-",ENSMUSG00000094002,False,False,False,0.0,,,
"7-Keto-3alpha,12-alpha-dihydroxycholanic acid",ENSMUSG00000094002,False,False,False,0.0,,,
"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",ENSMUSG00000094002,False,False,False,0.0,,,
8-Hydroxy-5-(hydroxymethyl)quinoline,ENSMUSG00000094002,False,False,False,0.0,,,
9-Octadecenamide,ENSMUSG00000094002,False,False,False,0.0,,,
"9,12-Octadecadienoic acid",ENSMUSG00000094002,False,False,False,0.0,,,
"9H-Fluorene, 9-methylene-",ENSMUSG00000094002,False,False,False,0.0,,,
"9H-Purine, 9-(trimethylsilyl)-2,6,8-tris[(trimethylsilyl)oxy]-",ENSMUSG00000094002,False,False,False,0.0,,,
"Acetamide, N,N-diethyl-",ENSMUSG00000094002,False,False,False,0.0,,,
"Acetic acid, bis[(trimethylsilyl)oxyl]-",ENSMUSG00000094002,False,False,False,0.0,,,
Acetoacetic acid,ENSMUSG00000094002,False,False,False,0.0,,,
Aceturic acid,ENSMUSG00000094002,False,False,False,0.0,,,
Adipoyl-L-carnitine,ENSMUSG00000094002,False,False,False,0.0,,,
Albizziin,ENSMUSG00000094002,False,False,False,0.0,,,
Alloxanic acid,ENSMUSG00000094002,False,False,False,0.0,,,
Allylescaline,ENSMUSG00000094002,False,False,False,0.0,,,
"alpha-L-Galactopyranoside, methyl 6-deoxy-, (R,R,R,S,S)-",ENSMUSG00000094002,False,False,False,0.0,,,
alpha-Tocopherol,ENSMUSG00000094002,False,False,False,0.0,,,
Ammeline,ENSMUSG00000094002,False,False,False,0.0,,,
"Arabinofuranose, 1,2,3,5-tetrakis-O-",ENSMUSG00000094002,False,False,False,0.0,,,
Arachidonic acid,ENSMUSG00000094002,False,False,False,0.0,,,
Aspartic acid,ENSMUSG00000094002,False,False,False,0.0,,,
"Azetidine, 1-acetyl-2-methyl-",ENSMUSG00000094002,False,False,False,0.0,,,
"Aziridine, 1-(2-buten-2-yl)-",ENSMUSG00000094002,False,False,False,0.0,,,
"Benzaldehyde, 2,5-dimethyl-",ENSMUSG00000094002,False,False,False,0.0,,,
"Benzene, 1,1'-(1,2-cyclobutanediyl)bis-",ENSMUSG00000094002,False,False,False,0.0,,,
"Benzene, 3-cyclohexen-1-yl-",ENSMUSG00000094002,False,False,False,0.0,,,
"Benzene, 4-ethenyl-1,2-dimethoxy-",ENSMUSG00000094002,False,False,False,0.0,,,
Benzeneacetic acid,ENSMUSG00000094002,False,False,False,0.0,,,
"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-",ENSMUSG00000094002,False,False,False,0.0,,,
Benzenepropanoic acid,ENSMUSG00000094002,False,False,False,0.0,,,
"Benzimidazole, 5-trifluoromethyl-2-methyl-",ENSMUSG00000094002,False,False,False,0.0,,,
"Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza-",ENSMUSG00000094002,False,False,False,0.0,,,
"Benzoic acid, methyl ester",ENSMUSG00000094002,False,False,False,0.0,,,
"Benzoic acid, pentadecyl ester",ENSMUSG00000094002,False,False,False,0.0,,,
